[2026-07-10 12:35:47] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:35:50] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:35:50] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:36:07] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:36:07] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:36:57] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:36:57] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:37:00] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:37:00] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:37:02] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:37:02] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:37:36] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:37:36] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:38:14] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:38:15] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:38:36] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:38:36] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:38:43] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:38:44] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:39:21] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:39:22] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:39:53] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:39:53] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:39:57] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:39:57] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:40:03] INFO     | foreground_wait_class_parser | ✅ Parsed 7 Foreground Wait Class records.
[2026-07-10 12:40:03] INFO     | foreground_wait_class_parser | ✅ Inserted 7 rows into awr_foreground_wait_class
[2026-07-10 12:40:17] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:40:17] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:41:36] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:41:36] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:41:43] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
