NAME,WAIT_CLASS
enq: MR - PDB open,Other
enq: MR - datafile online,Other
enq: MR - adg instance recovery,Other
enq: MR - preplugin recovery,Other
enq: MR - datafile pre-create,Other
shutdown after switchover to standby,Other
cancel media recovery on switchover,Other
PDB lock domain invalidation,Other
Recovery: scn growth limit,Other
parallel recovery coord wait for reply,Other
parallel recovery coord send blocked,Other
parallel recovery slave wait for change,Other
enq: BR - file shrink,Other
enq: BR - proxy-copy,Other
enq: BR - multi-section restore header,Other
enq: BR - multi-section restore section,Other
enq: BR - space info datafile hdr update,Other
enq: BR - request autobackup,Other
enq: BR - perform autobackup,Other
enq: BR - perform catalog recovery area,Other
enq: ID - contention,Other
Backup Restore Throttle sleep,Other
Backup Restore Switch Bitmap sleep,Other
Backup Restore Event sleep,Other
RMAN wallet access limit,Other
enq: BS - Backup spare1,Other
enq: BS - Backup spare2,Other
enq: BS - Backup spare3,Other
enq: BS - Backup spare4,Other
enq: BS - Backup spare5,Other
enq: BS - Backup spare6,Other
enq: BS - Backup spare7,Other
enq: BS - Backup spare8,Other
enq: BS - Backup spare9,Other
enq: BS - Backup spare0,Other
enq: AB - ABMR process start/stop,Other
enq: AB - ABMR process initialized,Other
Auto BMR completion,Other
Auto BMR RPC standby catchup,Other
enq: ZR - ZDLRA lock db,Other
enq: ZR - ZDLRA lock storage loc,Other
enq: ZR - ZDLRA lock timer queue,Other
enq: ZR - ZDLRA lock scheduler,Other
enq: ZR - ZDLRA lock API,Other
enq: ZR - ZDLRA quiesce tasks,Other
enq: ZR - ZDLRA check quiesce tasks,Other
enq: ZR - ZDLRA quiesce servlets,Other
enq: ZR - ZDLRA check servlet quiescence,Other
enq: ZR - ZDLRA serialize unregister db,Other
enq: ZR - ZDLRA run scheduler,Other
enq: ZR - ZDLRA purge storage loc,Other
enq: ZR - ZDLRA spare enq 10,Other
enq: ZR - ZDLRA invalidate plans,Other
enq: ZR - ZDLRA protect plans,Other
enq: BC - drop container group,Other
enq: BC - create container,Other
enq: BC - group - create container,Other
enq: BC - drop container,Other
enq: BC - group - create file,Other
enq: BI - create file,Other
enq: BI - identify file,Other
enq: BI - delete file,Other
enq: BZ - resize file,Other
enq: BV - rebuild/validate group,Other
Backup Appliance container synchronous read,Other
Backup Appliance container synchronous write,Other
Backup Appliance container I/O,Other
Supplemental logging roles,Other
LogMiner builder: queue full,Other
LogMiner reader: redo slot,Other
LogMiner reader: memory,Other
LogMiner merger: redo slot,Other
LogMiner: txn,Other
LogMiner: queue,Other
LogMiner: session audit list,Other
LogMiner FSC: dictionary load completion,Other
enq: MN - contention,Other
enq: ZL - LogMiner foreign log metadata,Other
enq: PL - contention,Other
enq: CP - Pluggable database resetlogs,Other
enq: SB - logical standby metadata,Other
enq: SB - table instantiation,Other
Logical Standby Apply shutdown,Other
Logical Standby pin transaction,Other
Logical Standby dictionary build,Other
Logical Standby Terminal Apply,Other
Logical Standby Debug,Other
Resolution of in-doubt txns,Other
enq: XR - quiesce database,Other
enq: XR - database force logging,Other
ADG query scn advance,Other
ADG instance recovery complete,Other
latch: obj/range reuse redo processing,Other
standby query scn advance,Other
change tracking file synchronous read,Other
change tracking file synchronous write,Other
change tracking file parallel write,Other
block change tracking buffer space,Other
CTWR media recovery checkpoint request,Other
enq: CT - global space management,Other
enq: CT - local space management,Other
enq: CT - change stream ownership,Other
enq: CT - state,Other
enq: CT - state change gate 1,Other
enq: CT - state change gate 2,Other
enq: CT - CTWR process start/stop,Other
enq: CT - reading,Other
recovery area: computing dropped files,Other
recovery area: computing obsolete files,Other
recovery area: computing backed up files,Other
recovery area: computing applied logs,Other
enq: RS - file delete,Other
enq: RS - record reuse,Other
enq: RS - prevent file delete,Other
enq: RS - prevent aging list update,Other
enq: RS - persist alert level,Other
enq: RS - read alert level,Other
enq: RS - write alert level,Other
enq: FL - Flashback database log,Other
enq: FL - Flashback db command,Other
enq: FD - Marker generation,Other
enq: FD - Tablespace flashback on/off,Other
enq: FD - Flashback coordinator,Other
enq: FD - Flashback on/off,Other
enq: FD - Restore point create/drop,Other
enq: FD - Flashback logical operations,Other
flashback free VI log,Other
flashback log switch,Other
enq: FW - contention,Other
RVWR wait for flashback copy,Other
parallel recovery read buffer free,Other
parallel recovery redo cache buffer free,Other
parallel recovery change buffer free,Other
parallel recovery push change,Other
cell smart flash keep,Other
cell smart flash unkeep,Other
cell ram cache population,Other
parallel recovery coord: all replies,Other
datafile move cleanup during resize,Other
Nologging Standby Unit Test,Other
Nonlogged block fetch,Other
recovery receive buffer free,Other
recovery cancel,Other
recovery remote file verification,Other
recovery active instance mapping setup,Other
recovery new thread enable,Other
recovery file header update for checkpoint,Other
recovery file header update for fuzziness,Other
