[2026-07-10 12:21:31] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:21:48] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:21:48] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:27:03] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:27:03] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:27:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:27:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:27:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 12:27:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 12:28:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 21 IOStat by Function/Filetype summary records.
[2026-07-10 12:28:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 21 rows into awr_iostat_func_filetype
[2026-07-10 12:28:35] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:28:35] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:29:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:29:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:29:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 12:29:27] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 12:29:59] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:29:59] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:30:31] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 21 IOStat by Function/Filetype summary records.
[2026-07-10 12:30:31] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 21 rows into awr_iostat_func_filetype
[2026-07-10 12:30:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 12:30:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 12:30:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:30:47] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:30:50] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:30:50] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:31:45] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:31:45] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:32:02] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
