[2026-07-10 12:19:17] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 59 rows into awr_enqueue_statistics
[2026-07-10 12:19:42] INFO     | enqueue_wait_statistics_parser | Found 57 rows in Enqueue Activity section
[2026-07-10 12:19:42] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 57 Enqueue Activity records
[2026-07-10 12:19:42] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 57 rows into awr_enqueue_statistics
[2026-07-10 12:19:55] INFO     | enqueue_wait_statistics_parser | Found 40 rows in Enqueue Activity section
[2026-07-10 12:19:55] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 40 Enqueue Activity records
[2026-07-10 12:19:55] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 40 rows into awr_enqueue_statistics
[2026-07-10 12:20:26] INFO     | enqueue_wait_statistics_parser | Found 59 rows in Enqueue Activity section
[2026-07-10 12:20:26] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 59 Enqueue Activity records
[2026-07-10 12:20:26] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 59 rows into awr_enqueue_statistics
[2026-07-10 12:20:32] INFO     | enqueue_wait_statistics_parser | Found 45 rows in Enqueue Activity section
[2026-07-10 12:20:32] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 45 Enqueue Activity records
[2026-07-10 12:20:32] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 45 rows into awr_enqueue_statistics
[2026-07-10 12:21:06] INFO     | enqueue_wait_statistics_parser | Found 40 rows in Enqueue Activity section
[2026-07-10 12:21:06] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 40 Enqueue Activity records
[2026-07-10 12:21:06] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 40 rows into awr_enqueue_statistics
[2026-07-10 12:21:21] INFO     | enqueue_wait_statistics_parser | Found 45 rows in Enqueue Activity section
[2026-07-10 12:21:21] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 45 Enqueue Activity records
[2026-07-10 12:21:21] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 45 rows into awr_enqueue_statistics
[2026-07-10 12:21:34] INFO     | enqueue_wait_statistics_parser | Found 59 rows in Enqueue Activity section
[2026-07-10 12:21:34] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 59 Enqueue Activity records
[2026-07-10 12:21:34] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 59 rows into awr_enqueue_statistics
[2026-07-10 12:26:47] INFO     | enqueue_wait_statistics_parser | Found 61 rows in Enqueue Activity section
[2026-07-10 12:26:47] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 61 Enqueue Activity records
[2026-07-10 12:26:47] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 61 rows into awr_enqueue_statistics
